"standard_concept_id","concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason"
501343,501343,"hepatitis B immune globulin","Drug","RxNorm","Ingredient","S",26744,"1970-01-01","2099-12-31",""
514834,514834,"Honey bee venom","Drug","RxNorm","Ingredient","S",124427,"1970-01-01","2099-12-31",""
523202,523202,"Typhoid Vaccine Live Ty21a","Drug","RxNorm","Ingredient","S",762595,"2008-03-30","2099-12-31",""
523212,523212,"Rubella Virus Vaccine Live (Wistar RA 27-3 Strain)","Drug","RxNorm","Ingredient","S",762817,"2008-03-30","2099-12-31",""
523367,523367,"poliovirus vaccine inactivated, type 3 (Saukett)","Drug","RxNorm","Ingredient","S",763100,"2008-03-30","2099-12-31",""
523620,523620,"Mumps Vaccine","Drug","RxNorm","Ingredient","S",763656,"2008-03-30","2099-12-31",""
528301,528301,"Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine","Drug","RxNorm","Ingredient","S",797635,"2008-06-29","2099-12-31",""
528323,528323,"Hepatitis B Surface Antigen Vaccine","Drug","RxNorm","Ingredient","S",797752,"2008-06-29","2099-12-31",""
529072,529072,"Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine","Drug","RxNorm","Ingredient","S",798232,"2008-06-29","2099-12-31",""
529114,529114,"L1 protein, Human papillomavirus type 18 Vaccine","Drug","RxNorm","Ingredient","S",798266,"2008-06-29","2099-12-31",""
529116,529116,"L1 protein, Human papillomavirus type 6 Vaccine","Drug","RxNorm","Ingredient","S",798268,"2008-06-29","2099-12-31",""
529118,529118,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine","Drug","RxNorm","Ingredient","S",798279,"2008-06-29","2099-12-31",""
529216,529216,"Human-Bovine Reassortant Rotavirus Strain P1A[8] Vaccine","Drug","RxNorm","Ingredient","S",798294,"2008-06-29","2099-12-31",""
529411,529411,"tetanus toxoid vaccine, inactivated","Drug","RxNorm","Ingredient","S",798306,"2008-06-29","2099-12-31",""
529660,529660,"Hepatitis A Vaccine (Inactivated) Strain HM175","Drug","RxNorm","Ingredient","S",798361,"2008-06-29","2099-12-31",""
530007,530007,"Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine","Drug","RxNorm","Ingredient","S",798444,"2008-06-29","2099-12-31",""
532272,532272,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain","Drug","RxNorm","Ingredient","S",804179,"2008-08-31","2099-12-31",""
532881,532881,"Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain","Drug","RxNorm","Ingredient","S",807219,"2008-09-28","2099-12-31",""
535714,535714,"Rho(D) Immune Globulin","Drug","RxNorm","Ingredient","S",35465,"1970-01-01","2099-12-31",""
537647,537647,"palivizumab","Drug","RxNorm","Ingredient","S",194279,"1970-01-01","2099-12-31",""
538530,538530,"Candida albicans","Drug","RxNorm","Ingredient","S",1963,"1970-01-01","2099-12-31",""
543287,543287,"Chickenpox Vaccine","Drug","RxNorm","Ingredient","S",39384,"1970-01-01","2099-12-31",""
543291,543291,"varicella-zoster immune globulin","Drug","RxNorm","Ingredient","S",39385,"1970-01-01","2099-12-31",""
544411,544411,"rabies virus vaccine flury-lep strain","Drug","RxNorm","Ingredient","S",830457,"2009-02-01","2099-12-31",""
544505,544505,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated","Drug","RxNorm","Ingredient","S",830464,"2009-02-01","2099-12-31",""
551977,551977,"Poliovirus Vaccine, Inactivated","Drug","RxNorm","Ingredient","S",214781,"1970-01-01","2099-12-31",""
559532,559532,"Yellow Fever Vaccine","Drug","RxNorm","Ingredient","S",89890,"1970-01-01","2099-12-31",""
561401,561401,"Tetanus immune globulin, human","Drug","RxNorm","Ingredient","S",91603,"1970-01-01","2099-12-31",""
561429,561429,"Polyvalent pneumococcal vaccine","Drug","RxNorm","Ingredient","S",91610,"1970-01-01","2099-12-31",""
