"outcome_concept_id","snomed_outcome_concept_id","concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason"
36718526,377091,36718526,"Convulsion","Condition","MedDRA","LLT","C",10010904,"1970-01-01","2099-12-31",""
35809054,437663,35809054,"Pyrexia","Condition","MedDRA","PT","C",10037660,"1970-01-01","2099-12-31",""
35205181,321318,35205181,"Angina pectoris","Condition","MedDRA","PT","C",10002383,"1970-01-01","2099-12-31",""
36718045,381591,36718045,"Cerebrovascular disorder","Condition","MedDRA","PT","C",10008196,"1970-01-01","2099-12-31",""
36211758,199991,36211758,"Complications of transplanted kidney","Condition","MedDRA","PT","C",10010185,"1970-01-01","2099-12-31",""
36718163,4182210,36718163,"Dementia","Condition","MedDRA","PT","C",10012267,"1970-01-01","2099-12-31",""
36416638,432867,36416638,"Hyperlipidaemia","Condition","MedDRA","PT","C",10062060,"1970-01-01","2099-12-31",""
35506747,138388,35506747,"Hyperparathyroidism secondary","Condition","MedDRA","PT","C",10020708,"1970-01-01","2099-12-31",""
37622529,316866,37622529,"Hypertension","Condition","MedDRA","PT","C",10020772,"1970-01-01","2099-12-31",""
36416532,435131,36416532,"Malnutrition","Condition","MedDRA","PT","C",10061273,"1970-01-01","2099-12-31",""
35205189,435561,35205189,"Myocardial infarction","Condition","MedDRA","PT","C",10028596,"1970-01-01","2099-12-31",""
36110466,141663,36110466,"Osteomyelitis","Condition","MedDRA","PT","C",10031252,"1970-01-01","2099-12-31",""
37019320,198185,37019320,"Renal failure chronic","Condition","MedDRA","LLT","C",10038444,"1970-01-01","2099-12-31",""
36718199,373185,36718199,"Dyskinesia","Condition","MedDRA","PT","C",10013916,"1970-01-01","2099-12-31",""
36718201,372604,36718201,"Extrapyramidal disorder","Condition","MedDRA","PT","C",10015832,"1970-01-01","2099-12-31",""
36718338,376337,36718338,"Nervous system disorder","Condition","MedDRA","PT","C",10029202,"1970-01-01","2099-12-31",""
36718218,4010823,36718218,"Tardive dyskinesia","Condition","MedDRA","PT","C",10043118,"1970-01-01","2099-12-31",""
36517132,81711,36517132,"Chondropathy","Condition","MedDRA","PT","C",10061762,"1970-01-01","2099-12-31",""
37220031,4214726,37220031,"Nasal ulcer","Condition","MedDRA","PT","C",10028780,"1970-01-01","2099-12-31",""
35708575,4028251,35708575,"Palatal disorder","Condition","MedDRA","PT","C",10052453,"1970-01-01","2099-12-31",""
36516757,78235,36516757,"Spinal disorder","Condition","MedDRA","PT","C",10061368,"1970-01-01","2099-12-31",""
35708642,138455,35708642,"Stomatitis","Condition","MedDRA","PT","C",10042128,"1970-01-01","2099-12-31",""
